Write Threshold,Trace Name,Slow Chip,Fast Read Cost,Fast Write Cost,Slow Write Cost,Write Proportion,Average Read Block Size,Read Block Size Variance,Read Block Size Std Dev,Read Block Size Max,Read Block Size Min,Damage Threshold,Normalized Cost (%)
6,602,DDR5_1600AN,8.84904826965877,8.528833721230928,34.5758986294285,0.003867,1543.3944099378882,6987072.564937697,2643.307126487139,6239,32,17.660926315097598,0.0
6,cc_twi,DDR5_1600AN,9.007310925315359,8.95155842989311,35.030360190424865,0.11133,47.893020749124226,336.56980038733553,18.345838775791517,241,10,17.37175632778683,0.16839780657605138
6,pr_road,DDR5_1600AN,8.998445326113053,8.987205828595918,35.20793364678003,0.158666,31.815005294206625,96.55713983887681,9.826349263021175,109,7,17.483505339812083,2.298630064652453
6,bfs_road,DDR5_1600AN,9.020241957958437,8.990220360404436,35.16149400684932,0.196224,24.577299412915853,98.00387069117382,9.899690434108221,121,6,17.408362504081826,17.50186242613677
6,620,DDR5_1600AN,8.973649304432223,8.897518382352942,34.78235294117647,0.01088,545.4103695532267,2635733.543676257,1623.4942388799097,63410,18,17.30722943186911,0.0
6,bc_web,DDR5_1600AN,8.956817913002084,8.928123383854889,35.030062282068286,0.315179,13.036817757809972,126.87793018059351,11.264010395085469,2308,6,17.48518669358417,86.31853863237419
6,607,DDR5_1600AN,12.218397391443107,32.69222191246167,41.18929467521606,0.003587,1663.0670016750419,10203670.431021662,3194.318461115244,43749,10,4.1725960404783375,0.0
6,623,DDR5_1600AN,9.05383346966073,7.9050042408821035,33.53859202714165,0.001179,5002.571428571428,1771734316.7551022,42091.97449342454,530245,10,16.987448160267586,0.6787896139586905
6,pr_twi,DDR5_1600AN,9.013562415431574,8.923525627278575,35.04773750804203,0.04663,122.63942864496204,8933.822118010961,94.51889820565495,1384,12,17.389935750178715,0.036716058327411795
6,600,DDR5_1600AN,9.01470858963225,7.503875968992248,31.00581395348837,0.000516,8624.151162790698,989909079.0818012,31462.82058369531,239335,7,15.642394482851413,3.8576941246080443
6,bc_twi,DDR5_1600AN,8.999128883777258,8.991055386297946,35.13261798743402,0.179214,27.478690280893233,329.2740863893598,18.14591101017967,504,6,17.429395403989492,18.399827452070372
6,628,DDR5_1600AN,9.13095924480239,8.743589743589743,34.54408457040036,0.004446,1337.9568151147098,58100699.604072995,7622.381491638489,104001,6,16.95363705067264,63.91229876535396
6,pr_web,DDR5_1600AN,8.995711376819923,8.921183505234437,35.05222826402461,0.051677,110.11240130051091,10275.428378488286,101.36778767679743,1685,14,17.429001663697953,0.030671934354224332
6,bfs_twi,DDR5_1600AN,9.000690027020113,8.940621854971132,34.921553048360614,0.018879,311.83820724729816,100382.28310473262,316.8316321088105,2544,7,17.31929293113835,0.6415057510824823
6,bc_road,DDR5_1600AN,9.001341970455558,9.001064561293049,35.18250391443744,0.241414,18.853311793214864,53.212781066324204,7.294709114579155,94,6,17.451690718391415,35.040762135648215
6,605,DDR5_1600AN,9.240661145123514,1.131578947368421,1.736842105263158,3.8e-05,152825.66666666666,18996755391.555557,137828.71758655942,405946,27006,0.3929999044803066,0.0
6,603,DDR5_1600AN,10.899018358630391,14.061400737230121,37.35134281200632,0.01899,309.9308056872038,987773.5930004566,993.8679957622423,53311,11,12.821306272780456,0.28044046230299663
6,bfs_web,DDR5_1600AN,9.009137501593397,8.855447774120908,34.908626364108784,0.011546,492.9287941787942,5744297.335366321,2396.726378910684,88622,10,17.351169466808553,0.06477353075846572
6,654,DDR5_1600AN,9.162520026630144,8.95857147928574,35.25829812914906,0.028169,180.31401789518534,3461522.861341632,1860.5168264064778,94447,9,17.22215716206365,0.8459619744047443
6,619,DDR5_1600AN,9.12592161703812,8.98174135933239,35.11738199183043,0.085439,64.22396235690708,1574.8138762584326,39.68392465795731,159,26,17.183343269376362,0.0
6,602,DDR5_2400AN,8.84904826965877,8.528833721230928,28.868784587535558,0.003867,1543.3944099378882,6987072.564937697,2643.307126487139,6239,32,13.791280313869706,0.0
6,cc_twi,DDR5_2400AN,9.007310925315359,8.95155842989311,29.31690209287703,0.11133,47.893020749124226,336.56980038733553,18.345838775791517,241,10,13.565875874727327,0.01596042559599737
6,pr_road,DDR5_2400AN,8.998445326113053,8.987205828595918,29.469842499338228,0.158666,31.815005294206625,96.55713983887681,9.826349263021175,109,7,13.657450322870345,0.3968998960284657
6,bfs_road,DDR5_2400AN,9.020241957958437,8.990220360404436,29.43107387475538,0.196224,24.577299412915853,98.00387069117382,9.899690434108221,121,6,13.596655351123651,6.1511159959023916
6,620,DDR5_2400AN,8.973649304432223,8.897518382352942,29.124581801470583,0.01088,545.4103695532267,2635733.543676257,1623.4942388799097,63410,18,13.524306154327103,0.0
6,bc_web,DDR5_2400AN,8.956817913002084,8.928123383854889,29.308613898768634,0.315179,13.036817757809972,126.87793018059351,11.264010395085469,2308,6,13.652498496365718,29.377532220429153
6,607,DDR5_2400AN,12.218397391443107,32.69222191246167,38.833755227209366,0.003587,1663.0670016750419,10203670.431021662,3194.318461115244,43749,10,3.015878327405911,0.0
6,623,DDR5_2400AN,9.05383346966073,7.9050042408821035,27.93698897370653,0.001179,5002.571428571428,1771734316.7551022,42091.97449342454,530245,10,13.275250621707144,0.31817139163454133
6,pr_twi,DDR5_2400AN,9.013562415431574,8.923525627278575,29.3118378726142,0.04663,122.63942864496204,8933.822118010961,94.51889820565495,1384,12,13.571756408163344,0.005881762403063027
6,600,DDR5_2400AN,9.01470858963225,7.503875968992248,25.660581395348835,0.000516,8624.151162790698,989909079.0818012,31462.82058369531,239335,7,12.084720373926551,1.4363561596822976
6,bc_twi,DDR5_2400AN,8.999128883777258,8.991055386297946,29.409708616514333,0.179214,27.478690280893233,329.2740863893598,18.14591101017967,504,6,13.613753171393146,5.182880046490961
6,628,DDR5_2400AN,9.13095924480239,8.743589743589743,28.867208726945567,0.004446,1337.9568151147098,58100699.604072995,7622.381491638489,104001,6,13.22333291202287,41.21881453237372
