total_num_other_requests,total_num_write_requests,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_read_latency_0,read_queue_len_avg_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,timing
0.0,0.0,315179.0,2813957.0,0.0,0.0,17.9341259,39.0469398,0.0,109938690.0,0.0,0.0,122956052.0,0.0221325345,186791.0,62280.0,32585.0,95774.0,32585.0,39.0690727,0.0,186791.0,0.0,95774.0,0.0,0.0,109876410.0,0.0,0.0,0.0,6855982.0,bc_web,DDR5_6400AN
0.0,0.0,3587.0,147746.0,0.0,0.0,13.9108458,34.8696213,0.0,5155073.0,0.0,0.0,5380910.0,0.0218347702,144.0,3226.0,135.0,3277.0,135.0,34.8914566,0.0,144.0,0.0,3277.0,0.0,0.0,5151847.0,0.0,0.0,0.0,386814.0,607,DDR5_1600AN
0.0,0.0,3587.0,122142.0,0.0,0.0,13.8189564,34.7960396,0.0,4252318.0,0.0,0.0,4401849.0,0.0185030531,474.0,2260.0,122.0,2959.0,122.0,34.8145447,0.0,474.0,0.0,2959.0,0.0,0.0,4250058.0,0.0,0.0,0.0,318537.0,607,DDR5_3200AN
0.0,0.0,3587.0,117267.0,0.0,0.0,13.7084379,34.6287613,0.0,4063135.0,0.0,0.0,4188435.0,0.0198180228,616.0,2324.0,125.0,2813.0,125.0,34.6485786,0.0,616.0,0.0,2813.0,0.0,0.0,4060811.0,0.0,0.0,0.0,305537.0,607,DDR5_6400AN
0.0,0.0,1179.0,39542.0,0.0,0.0,16.0686512,35.2233315,0.0,1393804.0,0.0,0.0,1656453.0,0.0253654346,331.0,1003.0,298.0,522.0,298.0,35.2486992,0.0,331.0,0.0,522.0,0.0,0.0,1392801.0,0.0,0.0,0.0,103086.0,623,DDR5_1600AN
0.0,0.0,1179.0,19529.0,0.0,0.0,17.1893883,36.5690498,0.0,714432.0,0.0,0.0,854622.0,0.0140816225,356.0,275.0,234.0,557.0,234.0,36.5831337,0.0,356.0,0.0,557.0,0.0,0.0,714157.0,0.0,0.0,0.0,49718.0,623,DDR5_3200AN
0.0,0.0,1179.0,9320.0,0.0,0.0,19.4912415,39.4907722,0.0,368054.0,0.0,0.0,438436.0,0.0,379.0,0.0,183.0,591.0,183.0,39.4907722,0.0,379.0,0.0,591.0,0.0,0.0,368054.0,0.0,0.0,0.0,22494.0,623,DDR5_6400AN
0.0,0.0,46630.0,1634276.0,0.0,0.0,15.0056696,35.2229462,0.0,57609295.0,0.0,0.0,63942626.0,0.0277052354,27658.0,45278.0,10365.0,8574.0,10365.0,35.2506523,0.0,27658.0,0.0,8574.0,0.0,0.0,57564017.0,0.0,0.0,0.0,4261231.0,pr_twi,DDR5_1600AN
0.0,0.0,46630.0,823776.0,0.0,0.0,15.7384329,36.5052719,0.0,30091346.0,0.0,0.0,33049103.0,0.0232793875,30632.0,19177.0,6976.0,8989.0,6976.0,36.528553,0.0,30632.0,0.0,8989.0,0.0,0.0,30072169.0,0.0,0.0,0.0,2099898.0,pr_twi,DDR5_3200AN
0.0,0.0,46630.0,416104.0,0.0,0.0,17.3766365,39.044239,0.0,16255200.0,0.0,0.0,17598588.0,0.0209947508,32579.0,8736.0,4504.0,9515.0,4504.0,39.0652351,0.0,32579.0,0.0,9515.0,0.0,0.0,16246464.0,0.0,0.0,0.0,1012773.0,pr_twi,DDR5_6400AN
